features,type,accuracy,freqs
5,HER2+,1.0,1
1160,TN,0.6,1
1160,HR+,0.6,1
1160,HER2+,0.8,1
1107,TN,1.0,1
1107,HR+,0.7777777777777778,1
1107,HER2+,1.0,1
1106,TN,1.0,1
1106,HR+,0.7777777777777778,1
1106,HER2+,1.0,1
1104,TN,0.6,1
1104,HR+,0.6,1
1104,HER2+,0.8,1
1101,TN,1.0,1
1101,HR+,0.7777777777777778,1
1101,HER2+,1.0,1
1084,TN,0.375,1
1084,HR+,0.625,1
1084,HER2+,1.0,1
2770,HR+,0.625,1
1078,HER2+,1.0,1
1078,HR+,0.5,1
1062,HER2+,1.0,1
1062,HR+,0.625,1
1563,HR+,0.4,1
1563,HER2+,0.9230769230769232,1
1563,TN,1.0,1
1569,HER2+,0.9090909090909092,1
2039,HER2+,1.0,1
2038,TN,0.8888888888888888,1
2038,HER2+,1.0,1
2038,HR+,0.5555555555555556,1
2035,HR+,0.5555555555555556,1
2035,HER2+,1.0,1
2035,TN,0.8888888888888888,1
2034,HER2+,1.0,1
2034,HR+,0.5555555555555556,1
2034,TN,0.8888888888888888,1
2025,HER2+,1.0,1
1062,TN,0.4545454545454545,1
2025,HR+,0.8571428571428571,1
1973,TN,0.6666666666666666,1
1973,HR+,0.5,1
1973,HER2+,1.0,1
1858,TN,0.75,1
1858,HER2+,1.0,1
1858,HR+,0.8,1
1684,TN,0.8333333333333334,1
1684,HR+,1.0,1
1684,HER2+,1.0,1
1569,TN,0.6,1
1569,HR+,0.5555555555555556,1
2025,TN,0.5,1
1059,HER2+,1.0,1
1059,HR+,0.5714285714285714,1
1059,TN,0.75,1
862,TN,0.6,1
862,HR+,0.5714285714285714,1
859,TN,1.0,1
859,HER2+,1.0,1
859,HR+,0.4444444444444444,1
826,HR+,0.4545454545454545,1
826,TN,0.6,1
826,HER2+,1.0,1
817,HER2+,1.0,1
817,TN,0.6666666666666666,1
817,HR+,0.4,1
862,HER2+,0.8333333333333334,1
815,TN,0.6666666666666666,1
815,HER2+,1.0,1
791,HER2+,1.0,1
791,HR+,0.4,1
791,TN,0.6666666666666666,1
789,HER2+,0.9090909090909092,1
789,HR+,0.5555555555555556,1
789,TN,0.6,1
716,HER2+,1.0,1
716,HR+,0.7692307692307693,1
716,TN,0.5,1
698,TN,0.29411764705882354,1
815,HR+,0.4,1
2039,HR+,0.5555555555555556,1
864,TN,0.1111111111111111,1
864,HR+,0.6,1
1026,HR+,0.625,1
1026,HER2+,1.0,1
1026,TN,0.4545454545454545,1
1021,HER2+,1.0,1
1021,HR+,0.625,1
1021,TN,0.4545454545454545,1
1012,HER2+,1.0,1
1012,HR+,0.625,1
1012,TN,0.4545454545454545,1
1005,TN,0.4545454545454545,1
1005,HER2+,1.0,1
864,HER2+,1.0,1
1005,HR+,0.625,1
1004,HER2+,1.0,1
1004,HR+,0.625,1
1002,HER2+,1.0,1
1002,HR+,0.625,1
1002,TN,0.4545454545454545,1
906,HER2+,1.0,1
906,TN,0.6666666666666666,1
906,HR+,0.6666666666666666,1
896,HER2+,1.0,1
896,TN,0.6666666666666666,1
896,HR+,0.6666666666666666,1
1004,TN,0.4545454545454545,1
698,HR+,1.0,1
2039,TN,0.8888888888888888,1
2040,HER2+,1.0,1
2698,HER2+,1.0,1
2698,HR+,0.5454545454545454,1
2698,TN,0.5454545454545454,1
2695,HR+,0.5454545454545454,1
2695,HER2+,1.0,1
2695,TN,0.5454545454545454,1
2693,TN,0.5454545454545454,1
2693,HER2+,1.0,1
2693,HR+,0.5454545454545454,1
2679,HER2+,1.0,1
2679,HR+,0.5454545454545454,1
2679,TN,0.5454545454545454,1
2678,HR+,0.6666666666666666,1
2678,HER2+,1.0,1
2678,TN,0.3333333333333333,1
2677,HR+,0.6666666666666666,1
2677,HER2+,1.0,1
2677,TN,0.3333333333333333,1
2663,HR+,0.7272727272727273,1
2663,HER2+,1.0,1
2663,TN,0.8,1
2415,HR+,0.6,1
2415,HER2+,1.0,1
2725,HR+,0.8571428571428571,1
2725,TN,0.75,1
2725,HER2+,1.0,1
2727,TN,0.75,1
2770,HER2+,1.0,1
2750,HER2+,0.9090909090909092,1
2750,HR+,0.5555555555555556,1
2750,TN,0.6,1
2744,HER2+,1.0,1
2744,HR+,0.5555555555555556,1
2744,TN,0.8888888888888888,1
2741,HR+,0.5555555555555556,1
