features,type,accuracy,freqs
726,TN,0.875,1
744,HER2+,1.0,1
745,TN,0.5,1
745,HR+,0.75,1
745,HER2+,1.0,1
825,TN,0.5,1
825,HR+,0.75,1
825,HER2+,1.0,1
1657,TN,0.5,1
1657,HR+,0.75,1
1657,HER2+,1.0,1
1677,TN,0.5,1
1677,HR+,0.75,1
744,HR+,0.75,1
1677,HER2+,1.0,1
1679,HR+,0.75,1
1679,HER2+,1.0,1
2154,TN,0.5,1
2154,HR+,0.75,1
2154,HER2+,1.0,1
2156,TN,0.5,1
2156,HR+,0.75,1
2156,HER2+,1.0,1
2243,TN,0.5,1
2243,HR+,0.75,1
2243,HER2+,1.0,1
2244,TN,0.5,1
1679,TN,0.5,1
2244,HR+,0.75,1
744,TN,0.5,1
743,HR+,0.75,1
852,HER2+,1.0,1
853,TN,0.3333333333333333,1
853,HR+,0.2727272727272727,1
853,HER2+,1.0,1
855,TN,0.3333333333333333,1
2739,HR+,0.5,1
855,HER2+,1.0,1
2104,TN,0.3333333333333333,1
2104,HR+,0.2727272727272727,1
2104,HER2+,1.0,1
2105,TN,0.3333333333333333,1
2105,HR+,0.2727272727272727,1
743,HER2+,1.0,1
2105,HER2+,1.0,1
2262,HR+,0.2727272727272727,1
2262,HER2+,1.0,1
2263,TN,0.3333333333333333,1
2263,HR+,0.2727272727272727,1
2263,HER2+,1.0,1
2264,TN,0.3333333333333333,1
2264,HR+,0.2727272727272727,1
2264,HER2+,1.0,1
488,TN,0.5,1
488,HR+,0.75,1
488,HER2+,1.0,1
743,TN,0.5,1
2262,TN,0.3333333333333333,1
852,HR+,0.2727272727272727,1
2244,HER2+,1.0,1
462,HR+,0.5,1
1665,HER2+,0.9,1
1668,TN,0.6,1
1668,HR+,0.5,1
1668,HER2+,0.9,1
1687,TN,0.6,1
1687,HR+,0.5,1
1687,HER2+,0.9,1
2662,TN,0.6,1
2662,HR+,0.5,1
2662,HER2+,0.9,1
2723,TN,0.6,1
2723,HR+,0.5,1
1665,HR+,0.5,1
2723,HER2+,0.9,1
2724,HR+,0.5,1
2724,HER2+,0.9,1
2732,TN,0.6,1
2732,HR+,0.5,1
2732,HER2+,0.9,1
