features,type,accuracy,freqs
726,TN,0.875,1
1188,TN,0.2,1
1188,HR+,0.5,1
1188,HER2+,0.9166666666666666,1
1134,TN,0.2,1
1134,HR+,0.5,1
1134,HER2+,0.9166666666666666,1
2024,TN,0.6363636363636364,1
2024,HR+,0.375,1
2024,HER2+,1.0,1
2022,TN,0.6363636363636364,1
2022,HR+,0.375,1
2022,HER2+,1.0,1
2032,TN,0.6363636363636364,1
2032,HR+,0.375,1
2032,HER2+,1.0,1
1189,HER2+,0.9166666666666666,1
2031,TN,0.6363636363636364,1
1189,HR+,0.5,1
2113,HER2+,0.9166666666666666,1
1146,HER2+,0.9166666666666666,1
1147,TN,0.2,1
1147,HR+,0.5,1
1147,HER2+,0.9166666666666666,1
1140,TN,0.2,1
1140,HR+,0.5,1
1140,HER2+,0.9166666666666666,1
1142,TN,0.2,1
1142,HR+,0.5,1
1142,HER2+,0.9166666666666666,1
1149,TN,0.2,1
1149,HR+,0.5,1
1149,HER2+,0.9166666666666666,1
2113,TN,0.2,1
2113,HR+,0.5,1
1189,TN,0.2,1
1146,HR+,0.5,1
2031,HR+,0.375,1
2018,TN,0.6363636363636364,1
2012,HER2+,1.0,1
2040,TN,0.6363636363636364,1
2040,HR+,0.375,1
2040,HER2+,1.0,1
174,TN,0.5714285714285714,1
174,HR+,0.75,1
174,HER2+,1.0,1
177,TN,0.5714285714285714,1
177,HR+,0.75,1
177,HER2+,1.0,1
262,TN,0.5714285714285714,1
262,HR+,0.75,1
262,HER2+,1.0,1
755,TN,0.5714285714285714,1
755,HR+,0.75,1
2012,HR+,0.375,1
2031,HER2+,1.0,1
2012,TN,0.6363636363636364,1
2034,HR+,0.375,1
2018,HR+,0.375,1
2018,HER2+,1.0,1
1038,TN,0.6363636363636364,1
1038,HR+,0.375,1
1038,HER2+,1.0,1
2028,TN,0.6363636363636364,1
2028,HR+,0.375,1
2028,HER2+,1.0,1
2016,TN,0.6363636363636364,1
2016,HR+,0.375,1
2016,HER2+,1.0,1
2029,TN,0.6363636363636364,1
2029,HR+,0.375,1
2029,HER2+,1.0,1
2034,TN,0.6363636363636364,1
2034,HER2+,1.0,1
755,HER2+,1.0,1
1146,TN,0.2,1
1143,HR+,0.5,1
1971,TN,0.42857142857142855,1
1971,HR+,0.5,1
1971,HER2+,0.8,1
1005,TN,0.2,1
1005,HR+,0.5,1
1005,HER2+,1.0,1
2714,HR+,0.6666666666666666,1
1061,TN,0.2,1
1061,HR+,0.5,1
1061,HER2+,1.0,1
1015,TN,0.2,1
1015,HR+,0.5,1
1015,HER2+,1.0,1
1007,TN,0.2,1
1007,HR+,0.5,1
2066,HER2+,0.8,1
1007,HER2+,1.0,1
2066,HR+,0.5,1
672,HER2+,0.8,1
2058,HER2+,0.8,1
2046,TN,0.42857142857142855,1
2046,HR+,0.5,1
2046,HER2+,0.8,1
2721,TN,0.42857142857142855,1
2721,HR+,0.5,1
2721,HER2+,0.8,1
2056,TN,0.42857142857142855,1
