features,type,accuracy,freqs
681,HR+,0.8888888888888888,1
515,TN,0.6153846153846154,1
515,HR+,0.6,1
512,TN,0.6153846153846154,1
512,HR+,0.6,1
169,TN,0.6153846153846154,1
169,HR+,0.6,1
501,TN,0.6153846153846154,1
501,HR+,0.6,1
1046,TN,0.5555555555555556,1
1046,HR+,0.4666666666666667,1
2481,TN,0.5454545454545454,1
2481,HR+,0.8181818181818182,1
270,TN,0.5454545454545454,1
270,HR+,0.8181818181818182,1
2201,TN,0.8571428571428571,1
2201,HR+,0.4,1
2121,TN,0.8571428571428571,1
2121,HR+,0.4,1
2111,TN,0.8571428571428571,1
2111,HR+,0.4,1
118,TN,0.5454545454545454,1
509,HR+,0.6,1
509,TN,0.6153846153846154,1
508,HR+,0.6,1
508,TN,0.6153846153846154,1
998,TN,0.7,1
998,HR+,0.6875,1
2723,TN,0.7,1
2723,HR+,0.6875,1
695,TN,0.7,1
695,HR+,0.6875,1
2404,TN,0.6153846153846154,1
2404,HR+,0.6,1
2408,TN,0.6153846153846154,1
2408,HR+,0.6,1
118,HR+,0.6,1
2407,TN,0.6153846153846154,1
167,TN,0.6153846153846154,1
167,HR+,0.6,1
511,TN,0.6153846153846154,1
511,HR+,0.6,1
510,TN,0.6153846153846154,1
510,HR+,0.6,1
517,TN,0.6153846153846154,1
517,HR+,0.6,1
516,TN,0.6153846153846154,1
516,HR+,0.6,1
2407,HR+,0.6,1
2209,TN,0.45454545454545453,1
2209,HR+,0.5384615384615384,1
2210,TN,0.45454545454545453,1
1180,HR+,0.5,1
1182,TN,0.2727272727272727,1
1182,HR+,0.5,1
836,TN,0.7857142857142857,1
836,HR+,0.46153846153846156,1
835,TN,0.7857142857142857,1
835,HR+,0.46153846153846156,1
834,TN,0.7857142857142857,1
834,HR+,0.46153846153846156,1
831,TN,0.7857142857142857,1
1180,TN,0.2727272727272727,1
831,HR+,0.46153846153846156,1
832,HR+,0.46153846153846156,1
833,TN,0.7857142857142857,1
833,HR+,0.46153846153846156,1
867,TN,0.7857142857142857,1
867,HR+,0.46153846153846156,1
2515,TN,0.6363636363636364,1
2515,HR+,0.5833333333333334,1
