features,type,accuracy,freqs
2250,HER2+,0.9230769230769231,1
2098,HR+,0.5,1
2098,TN,0.8571428571428571,1
1484,HER2+,1.0,1
1484,HR+,0.8333333333333334,1
1484,TN,0.7,1
1483,HER2+,1.0,1
1483,HR+,0.8333333333333334,1
1483,TN,0.7,1
1482,HER2+,1.0,1
1482,HR+,0.8333333333333334,1
2098,HER2+,0.9166666666666666,1
1482,TN,0.7,1
225,HR+,0.8333333333333334,1
225,TN,0.7,1
227,HER2+,1.0,1
227,HR+,0.8333333333333334,1
227,TN,0.7,1
807,TN,0.6153846153846154,1
807,HR+,0.7,1
807,HER2+,1.0,1
2005,HER2+,1.0,1
2005,HR+,0.8333333333333334,1
225,HER2+,1.0,1
2005,TN,0.7,1
665,TN,0.8571428571428571,1
665,HER2+,0.9166666666666666,1
515,HER2+,1.0,1
515,HR+,0.4,1
515,TN,0.75,1
512,HER2+,1.0,1
512,HR+,0.4,1
512,TN,0.75,1
2061,HER2+,1.0,1
2061,HR+,0.4,1
2061,TN,0.75,1
2812,HER2+,1.0,1
665,HR+,0.5,1
2812,HR+,0.5625,1
242,HER2+,0.7777777777777778,1
242,HR+,0.5833333333333334,1
242,TN,0.5384615384615384,1
2724,HER2+,0.7777777777777778,1
2724,HR+,0.5833333333333334,1
2724,TN,0.5384615384615384,1
2355,HR+,0.6,1
666,HER2+,0.9166666666666666,1
666,HR+,0.5,1
666,TN,0.8571428571428571,1
2812,TN,0.6666666666666666,1
2409,HER2+,0.9166666666666666,1
2409,HR+,0.7142857142857143,1
2409,TN,0.6,1
900,HER2+,0.7777777777777778,1
900,HR+,0.5882352941176471,1
900,TN,0.7142857142857143,1
2383,HER2+,0.7777777777777778,1
2383,HR+,0.5882352941176471,1
2383,TN,0.7142857142857143,1
923,HER2+,0.7777777777777778,1
923,HR+,0.5882352941176471,1
923,TN,0.7142857142857143,1
1975,HER2+,0.7777777777777778,1
468,TN,0.7142857142857143,1
1975,HR+,0.5882352941176471,1
852,TN,0.5555555555555556,1
852,HR+,0.7692307692307693,1
852,HER2+,0.9090909090909091,1
866,TN,0.5555555555555556,1
866,HR+,0.7692307692307693,1
866,HER2+,0.9090909090909091,1
862,TN,0.5555555555555556,1
862,HR+,0.7692307692307693,1
862,HER2+,0.9090909090909091,1
853,TN,0.5555555555555556,1
1975,TN,0.7142857142857143,1
468,HR+,0.5882352941176471,1
468,HER2+,0.7777777777777778,1
1173,TN,0.8,1
2414,HER2+,0.9166666666666666,1
2414,HR+,0.7142857142857143,1
2414,TN,0.6,1
71,HER2+,0.75,1
71,HR+,0.4,1
71,TN,0.5714285714285714,1
72,HER2+,0.75,1
72,HR+,0.4,1
72,TN,0.5714285714285714,1
507,HER2+,0.75,1
507,HR+,0.4,1
507,TN,0.5714285714285714,1
158,HER2+,0.75,1
158,HR+,0.4,1
158,TN,0.5714285714285714,1
496,HER2+,0.75,1
496,HR+,0.4,1
496,TN,0.5714285714285714,1
517,HER2+,0.75,1
517,HR+,0.4,1
517,TN,0.5714285714285714,1
1173,HER2+,1.0,1
1173,HR+,0.46153846153846156,1
2062,TN,0.75,1
2062,HR+,0.4,1
2062,HER2+,1.0,1
857,TN,0.46153846153846156,1
1420,TN,0.3333333333333333,1
2227,HER2+,1.0,1
2227,HR+,0.5,1
2227,TN,0.3333333333333333,1
1964,HER2+,0.8,1
1964,HR+,1.0,1
1964,TN,0.4666666666666667,1
2425,HER2+,0.8571428571428571,1
2425,HR+,0.35294117647058826,1
2425,TN,0.6666666666666666,1
1420,HR+,0.5,1
1451,HER2+,0.8571428571428571,1
1451,TN,0.6666666666666666,1
1450,HER2+,0.8571428571428571,1
1450,HR+,0.35294117647058826,1
1450,TN,0.6666666666666666,1
1449,HER2+,0.8571428571428571,1
1449,HR+,0.35294117647058826,1
1449,TN,0.6666666666666666,1
2405,HER2+,0.8571428571428571,1
2405,HR+,0.35294117647058826,1
2405,TN,0.6666666666666666,1
1451,HR+,0.35294117647058826,1
1420,HER2+,1.0,1
2225,TN,0.3333333333333333,1
2225,HR+,0.5,1
2289,TN,0.8,1
2281,HER2+,0.8888888888888888,1
2281,HR+,0.6428571428571429,1
2281,TN,0.8,1
2280,HER2+,0.8888888888888888,1
2280,HR+,0.6428571428571429,1
2280,TN,0.8,1
2279,HER2+,0.8888888888888888,1
2279,HR+,0.6428571428571429,1
2279,TN,0.8,1
2122,HER2+,0.9166666666666666,1
2122,HR+,0.7777777777777778,1
2122,TN,0.5833333333333334,1
725,HER2+,0.9166666666666666,1
725,HR+,0.7777777777777778,1
725,TN,0.5833333333333334,1
489,HER2+,0.9166666666666666,1
489,HR+,0.7777777777777778,1
489,TN,0.5833333333333334,1
2226,HER2+,1.0,1
2226,HR+,0.5,1
2226,TN,0.3333333333333333,1
2225,HER2+,1.0,1
2744,HER2+,1.0,1
853,HR+,0.7692307692307693,1
2744,HR+,1.0,1
2745,HER2+,1.0,1
833,HR+,0.8333333333333334,1
833,TN,0.46153846153846156,1
849,HER2+,0.875,1
849,HR+,0.8333333333333334,1
849,TN,0.46153846153846156,1
832,HER2+,0.875,1
832,HR+,0.8333333333333334,1
832,TN,0.46153846153846156,1
823,HER2+,0.875,1
823,HR+,0.8333333333333334,1
833,HER2+,0.875,1
823,TN,0.46153846153846156,1
824,HR+,0.8333333333333334,1
824,TN,0.46153846153846156,1
858,HER2+,0.875,1
858,HR+,0.8333333333333334,1
858,TN,0.46153846153846156,1
856,HER2+,0.875,1
856,HR+,0.8333333333333334,1
856,TN,0.46153846153846156,1
857,HER2+,0.875,1
857,HR+,0.8333333333333334,1
824,HER2+,0.875,1
848,TN,0.46153846153846156,1
848,HR+,0.8333333333333334,1
848,HER2+,0.875,1
2745,HR+,1.0,1
2745,TN,0.375,1
1876,HER2+,1.0,1
1876,HR+,1.0,1
1876,TN,0.375,1
2025,HER2+,1.0,1
2025,HR+,0.6666666666666666,1
2025,TN,0.8181818181818182,1
2756,HER2+,0.9285714285714286,1
2756,HR+,0.7,1
2756,TN,0.5555555555555556,1
2755,HER2+,0.9285714285714286,1
2755,HR+,0.7,1
2755,TN,0.5555555555555556,1
722,HER2+,1.0,1
722,HR+,0.5384615384615384,1
722,TN,0.3333333333333333,1
184,HER2+,1.0,1
184,HR+,0.5384615384615384,1
184,TN,0.3333333333333333,1
869,HER2+,0.875,1
869,HR+,0.8333333333333334,1
869,TN,0.46153846153846156,1
2744,TN,0.375,1
2289,HR+,0.6428571428571429,1
853,HER2+,0.9090909090909091,1
865,HR+,0.7692307692307693,1
1656,HER2+,0.9411764705882353,1
1675,TN,0.2857142857142857,1
1675,HR+,0.6,1
1675,HER2+,0.9411764705882353,1
610,HER2+,1.0,1
610,HR+,0.8181818181818182,1
610,TN,0.5,1
379,HER2+,1.0,1
379,HR+,0.8181818181818182,1
379,TN,0.5,1
1656,HR+,0.6,1
415,HER2+,1.0,1
415,TN,0.5,1
2623,HER2+,1.0,1
2623,HR+,0.8181818181818182,1
2623,TN,0.5,1
2691,HER2+,1.0,1
2691,HR+,0.8181818181818182,1
2691,TN,0.5,1
2694,HER2+,1.0,1
2694,HR+,0.8181818181818182,1
2694,TN,0.5,1
415,HR+,0.8181818181818182,1
2695,HER2+,1.0,1
1656,TN,0.2857142857142857,1
1660,HR+,0.6,1
1073,HER2+,0.8571428571428571,1
1073,HR+,0.8571428571428571,1
1073,TN,0.5,1
1670,TN,0.2857142857142857,1
1670,HR+,0.6,1
1670,HER2+,0.9411764705882353,1
1669,TN,0.2857142857142857,1
1669,HR+,0.6,1
1669,HER2+,0.9411764705882353,1
1668,TN,0.2857142857142857,1
1660,HER2+,0.9411764705882353,1
1668,HR+,0.6,1
1667,TN,0.2857142857142857,1
1667,HR+,0.6,1
1667,HER2+,0.9411764705882353,1
1666,TN,0.2857142857142857,1
1666,HR+,0.6,1
1666,HER2+,0.9411764705882353,1
1419,TN,0.2857142857142857,1
1419,HR+,0.6,1
1419,HER2+,0.9411764705882353,1
1660,TN,0.2857142857142857,1
1668,HER2+,0.9411764705882353,1
2695,HR+,0.8181818181818182,1
2695,TN,0.5,1
2696,HER2+,1.0,1
1890,HR+,0.3333333333333333,1
1890,TN,0.6363636363636364,1
1850,HER2+,1.0,1
1850,HR+,0.3333333333333333,1
1850,TN,0.6363636363636364,1
1869,HER2+,1.0,1
1869,HR+,0.3333333333333333,1
1869,TN,0.6363636363636364,1
2418,HER2+,1.0,1
2418,HR+,0.4666666666666667,1
1890,HER2+,1.0,1
2418,TN,0.5714285714285714,1
495,HER2+,0.9230769230769231,1
495,HR+,0.7272727272727273,1
495,TN,0.8888888888888888,1
2357,HER2+,0.9,1
2357,HR+,0.6,1
2357,TN,0.25,1
2358,HER2+,0.9,1
2358,HR+,0.6,1
2358,TN,0.25,1
2355,HER2+,0.9,1
2250,HR+,0.6666666666666666,1
1115,TN,0.6363636363636364,1
1115,HR+,0.3333333333333333,1
1115,HER2+,1.0,1
2696,HR+,0.8181818181818182,1
2696,TN,0.5,1
2698,HER2+,1.0,1
2698,HR+,0.8181818181818182,1
2698,TN,0.5,1
2693,HER2+,1.0,1
2693,HR+,0.8181818181818182,1
2693,TN,0.5,1
2697,HER2+,1.0,1
2697,HR+,0.8181818181818182,1
2697,TN,0.5,1
2692,HER2+,1.0,1
2692,HR+,0.8181818181818182,1
2692,TN,0.5,1
1152,HER2+,0.8333333333333334,1
1152,HR+,0.25,1
1152,TN,0.46153846153846156,1
2719,HER2+,0.9090909090909091,1
2719,HR+,0.7142857142857143,1
2719,TN,0.4444444444444444,1
1112,HER2+,1.0,1
1112,HR+,0.3333333333333333,1
1112,TN,0.6363636363636364,1
1896,TN,0.6666666666666666,1
1896,HR+,0.7058823529411765,1
1896,HER2+,1.0,1
1894,TN,0.6666666666666666,1
2089,TN,0.3333333333333333,1
2090,HER2+,1.0,1
2090,HR+,0.6153846153846154,1
2090,TN,0.3333333333333333,1
2093,HER2+,1.0,1
2093,HR+,0.6153846153846154,1
2093,TN,0.3333333333333333,1
606,HER2+,0.6363636363636364,1
606,HR+,0.5714285714285714,1
606,TN,0.625,1
2089,HR+,0.6153846153846154,1
609,HER2+,0.6363636363636364,1
609,TN,0.625,1
612,HER2+,0.6363636363636364,1
612,HR+,0.5714285714285714,1
612,TN,0.625,1
1739,HER2+,0.6363636363636364,1
1739,HR+,0.5714285714285714,1
1739,TN,0.625,1
597,HER2+,0.6363636363636364,1
597,HR+,0.5714285714285714,1
597,TN,0.625,1
609,HR+,0.5714285714285714,1
2089,HER2+,1.0,1
2085,TN,0.3333333333333333,1
2085,HR+,0.6153846153846154,1
865,HER2+,0.9090909090909091,1
867,TN,0.5555555555555556,1
867,HR+,0.7692307692307693,1
867,HER2+,0.9090909090909091,1
2640,HER2+,0.8666666666666667,1
2640,HR+,0.6153846153846154,1
2640,TN,0.6,1
1010,HER2+,0.9,1
1010,HR+,0.5714285714285714,1
1010,TN,0.7,1
1105,HER2+,0.9090909090909091,1
1105,HR+,0.5,1
1105,TN,0.5,1
2091,HER2+,1.0,1
2091,HR+,0.6153846153846154,1
2091,TN,0.3333333333333333,1
2084,HER2+,1.0,1
2084,HR+,0.6153846153846154,1
2084,TN,0.3333333333333333,1
2085,HER2+,1.0,1
2715,TN,0.6363636363636364,1
2715,HR+,0.7272727272727273,1
2715,HER2+,0.9090909090909091,1
392,HER2+,0.6363636363636364,1
865,TN,0.5555555555555556,1
1413,TN,0.8333333333333334,1
1413,HER2+,0.8888888888888888,1
1759,HR+,0.6923076923076923,1
1759,TN,0.8,1
1758,HER2+,1.0,1
1758,HR+,0.6923076923076923,1
1758,TN,0.8,1
1754,HER2+,1.0,1
1754,HR+,0.6923076923076923,1
1754,TN,0.8,1
1755,HER2+,1.0,1
1755,HR+,0.6923076923076923,1
236,HER2+,0.9230769230769231,1
1755,TN,0.8,1
1770,HR+,0.6923076923076923,1
1770,TN,0.8,1
1749,HER2+,1.0,1
1749,HR+,0.6923076923076923,1
1749,TN,0.8,1
1750,HER2+,1.0,1
1750,HR+,0.6923076923076923,1
1750,TN,0.8,1
1894,HER2+,1.0,1
1894,HR+,0.7058823529411765,1
1770,HER2+,1.0,1
236,HR+,0.7,1
236,TN,0.7,1
1759,HER2+,1.0,1
392,HR+,0.5714285714285714,1
392,TN,0.625,1
391,HER2+,0.6363636363636364,1
391,HR+,0.5714285714285714,1
391,TN,0.625,1
388,HER2+,0.6363636363636364,1
388,HR+,0.5714285714285714,1
388,TN,0.625,1
390,HER2+,0.6363636363636364,1
390,HR+,0.5714285714285714,1
390,TN,0.625,1
607,HER2+,0.6363636363636364,1
607,HR+,0.5714285714285714,1
607,TN,0.625,1
2253,HER2+,1.0,1
2253,HR+,0.6923076923076923,1
2253,TN,0.8,1
2267,HER2+,1.0,1
2267,HR+,0.6923076923076923,1
2267,TN,0.8,1
1751,HER2+,1.0,1
1751,HR+,0.6923076923076923,1
1751,TN,0.8,1
1413,HR+,0.5263157894736842,1
2289,HER2+,0.8888888888888888,1
2355,TN,0.25,1
1118,TN,0.8,1
1198,HR+,0.7777777777777778,1
1870,TN,0.14285714285714285,1
1118,HR+,0.5384615384615384,1
1118,HER2+,0.9,1
1198,TN,0.7692307692307693,1
1160,TN,0.8,1
1160,HR+,0.5384615384615384,1
1198,HER2+,1.0,1
1867,HER2+,0.9,1
2235,HER2+,1.0,1
2353,TN,0.2857142857142857,1
1223,HER2+,1.0,1
1223,HR+,0.7777777777777778,1
1223,TN,0.7692307692307693,1
2353,HR+,0.4444444444444444,1
1867,TN,0.7272727272727273,1
1867,HR+,0.46153846153846156,1
2009,HER2+,1.0,1
1215,TN,0.7692307692307693,1
1860,HR+,0.5882352941176471,1
1861,HER2+,0.8888888888888888,1
1863,TN,0.8571428571428571,1
1863,HR+,0.5882352941176471,1
1863,HER2+,0.8888888888888888,1
701,TN,0.8571428571428571,1
701,HR+,0.5882352941176471,1
1870,HR+,0.6666666666666666,1
1860,HER2+,0.8888888888888888,1
701,HER2+,0.8888888888888888,1
1200,TN,0.7692307692307693,1
1197,HER2+,1.0,1
1197,HR+,0.7777777777777778,1
1197,TN,0.7692307692307693,1
1215,HER2+,1.0,1
1215,HR+,0.7777777777777778,1
1860,TN,0.8571428571428571,1
1200,HR+,0.7777777777777778,1
2009,HR+,0.8888888888888888,1
2009,TN,0.5454545454545454,1
2353,HER2+,1.0,1
2447,TN,0.7692307692307693,1
1212,HER2+,1.0,1
1212,HR+,0.7777777777777778,1
214,HR+,0.6363636363636364,1
214,TN,0.6666666666666666,1
1212,TN,0.7692307692307693,1
1213,HER2+,1.0,1
2447,HR+,0.7777777777777778,1
1213,HR+,0.7777777777777778,1
1296,HER2+,1.0,1
1295,TN,0.4,1
1295,HR+,0.46153846153846156,1
2242,HER2+,1.0,1
1295,HER2+,1.0,1
177,HER2+,1.0,1
177,HR+,0.5384615384615384,1
1213,TN,0.7692307692307693,1
2447,HER2+,1.0,1
1204,TN,0.7692307692307693,1
1296,HR+,0.46153846153846156,1
1224,HER2+,1.0,1
1224,HR+,0.7777777777777778,1
1224,TN,0.7692307692307693,1
1211,HER2+,1.0,1
1211,HR+,0.7777777777777778,1
1160,HER2+,0.9,1
213,HER2+,0.8461538461538461,1
213,HR+,0.6363636363636364,1
213,TN,0.6666666666666666,1
214,HER2+,0.8461538461538461,1
1211,TN,0.7692307692307693,1
1204,HER2+,1.0,1
1204,HR+,0.7777777777777778,1
2174,TN,0.42857142857142855,1
2174,HR+,0.46153846153846156,1
2174,HER2+,0.9230769230769231,1
1296,TN,0.4,1
1861,HR+,0.5882352941176471,1
1861,TN,0.8571428571428571,1
742,HER2+,0.8888888888888888,1
742,HR+,0.5882352941176471,1
75,TN,0.7142857142857143,1
836,HR+,0.6363636363636364,1
836,TN,0.5,1
500,HER2+,1.0,1
500,HR+,0.5789473684210527,1
500,TN,0.7142857142857143,1
1870,HER2+,1.0,1
2138,HER2+,0.875,1
1457,TN,0.625,1
1457,HER2+,0.9090909090909091,1
1074,TN,0.625,1
1074,HR+,0.4666666666666667,1
803,HER2+,1.0,1
803,HR+,0.8125,1
803,TN,0.625,1
1074,HER2+,0.9090909090909091,1
1457,HR+,0.4666666666666667,1
2138,HR+,0.7272727272727273,1
2138,TN,0.35714285714285715,1
836,HER2+,0.9,1
494,TN,0.7142857142857143,1
498,HER2+,1.0,1
494,HER2+,1.0,1
1601,TN,0.7142857142857143,1
1601,HR+,0.5789473684210527,1
1601,HER2+,1.0,1
163,TN,0.7142857142857143,1
163,HR+,0.5789473684210527,1
163,HER2+,1.0,1
498,HR+,0.5789473684210527,1
2271,TN,0.2857142857142857,1
2271,HR+,0.4444444444444444,1
498,TN,0.7142857142857143,1
75,HER2+,1.0,1
75,HR+,0.5789473684210527,1
2242,HR+,0.4444444444444444,1
2242,TN,0.2857142857142857,1
2271,HER2+,1.0,1
177,TN,0.5454545454545454,1
2354,TN,0.2857142857142857,1
2354,HER2+,1.0,1
1448,HR+,0.75,1
1448,HER2+,1.0,1
2130,TN,0.25,1
2130,HR+,0.5,1
2130,HER2+,0.9166666666666666,1
1862,TN,0.8571428571428571,1
1862,HR+,0.5882352941176471,1
1448,TN,0.6923076923076923,1
1862,HER2+,0.8888888888888888,1
1116,HER2+,1.0,1
1116,HR+,0.5454545454545454,1
1116,TN,0.7142857142857143,1
772,HR+,0.5882352941176471,1
772,HER2+,0.8888888888888888,1
742,TN,0.8571428571428571,1
1200,HER2+,1.0,1
772,TN,0.8571428571428571,1
152,HER2+,0.875,1
152,HR+,0.55,1
152,TN,0.3333333333333333,1
12,HER2+,0.9,1
12,HR+,0.6363636363636364,1
12,TN,0.5,1
826,HER2+,0.9,1
826,HR+,0.6363636363636364,1
826,TN,0.5,1
828,HER2+,0.9,1
828,HR+,0.6363636363636364,1
828,TN,0.5,1
2235,TN,0.2857142857142857,1
2235,HR+,0.4444444444444444,1
754,TN,0.5833333333333334,1
754,HR+,0.6428571428571429,1
754,HER2+,0.875,1
2183,TN,0.75,1
2183,HR+,0.6923076923076923,1
2183,HER2+,1.0,1
2354,HR+,0.4444444444444444,1
1350,HER2+,0.875,1
494,HR+,0.5789473684210527,1
67,TN,0.4,1
484,TN,0.5,1
484,HR+,0.7692307692307693,1
2257,TN,0.5384615384615384,1
2257,HR+,0.625,1
2257,HER2+,1.0,1
484,HER2+,0.9333333333333333,1
688,TN,0.5,1
688,HR+,0.7692307692307693,1
688,HER2+,0.9333333333333333,1
206,TN,0.7142857142857143,1
206,HR+,0.7,1
206,HER2+,1.0,1
201,TN,0.7142857142857143,1
201,HR+,0.7,1
201,HER2+,1.0,1
1357,HR+,0.7272727272727273,1
1357,HER2+,0.875,1
1359,TN,0.5,1
1359,HR+,0.7272727272727273,1
1394,HR+,0.625,1
1394,HER2+,1.0,1
842,TN,0.8571428571428571,1
842,HR+,0.625,1
1843,HER2+,0.875,1
1843,HR+,0.7272727272727273,1
1350,HR+,0.7272727272727273,1
1357,TN,0.5,1
2256,HR+,0.625,1
1395,TN,0.5,1
1395,HR+,0.7692307692307693,1
598,HER2+,1.0,1
1395,HER2+,0.9333333333333333,1
2256,HER2+,1.0,1
1843,TN,0.5,1
1359,HER2+,0.875,1
842,HER2+,1.0,1
203,TN,0.7142857142857143,1
203,HR+,0.7,1
203,HER2+,1.0,1
2728,TN,0.5,1
2646,HER2+,0.9230769230769231,1
2646,HR+,0.75,1
2245,HR+,0.6666666666666666,1
2245,HER2+,0.9230769230769231,1
2646,TN,0.75,1
2246,TN,0.7272727272727273,1
2245,TN,0.7272727272727273,1
2246,HR+,0.6666666666666666,1
2240,TN,0.7272727272727273,1
2240,HR+,0.6666666666666666,1
2240,HER2+,0.9230769230769231,1
2278,HER2+,0.8888888888888888,1
2278,HR+,0.6428571428571429,1
2278,TN,0.8,1
2250,TN,0.7272727272727273,1
2246,HER2+,0.9230769230769231,1
1394,TN,0.8571428571428571,1
2728,HR+,0.5,1
382,TN,0.4,1
210,TN,0.7142857142857143,1
210,HR+,0.7,1
598,HR+,0.5714285714285714,1
598,TN,0.4,1
410,HER2+,1.0,1
410,HR+,0.5714285714285714,1
410,TN,0.4,1
2728,HER2+,0.9230769230769231,1
419,HER2+,1.0,1
210,HER2+,1.0,1
2247,TN,0.7272727272727273,1
2247,HR+,0.6666666666666666,1
2247,HER2+,0.9230769230769231,1
419,TN,0.4,1
382,HER2+,1.0,1
382,HR+,0.5714285714285714,1
419,HR+,0.5714285714285714,1
1155,HER2+,1.0,1
2256,TN,0.5384615384615384,1
1155,TN,0.8571428571428571,1
1854,HER2+,0.875,1
1852,TN,0.5,1
1852,HR+,0.7272727272727273,1
1852,HER2+,0.875,1
2179,HER2+,1.0,1
2179,HR+,0.6666666666666666,1
2179,TN,0.5,1
2178,HER2+,1.0,1
66,TN,0.4,1
66,HR+,0.46153846153846156,1
66,HER2+,1.0,1
1854,TN,0.5,1
1414,TN,0.6666666666666666,1
1344,HER2+,0.875,1
1155,HR+,0.625,1
1344,HR+,0.7272727272727273,1
2178,HR+,0.6666666666666666,1
63,TN,0.4,1
2178,TN,0.5,1
63,HER2+,1.0,1
1414,HR+,0.6363636363636364,1
63,HR+,0.46153846153846156,1
1410,HER2+,0.8461538461538461,1
1414,HER2+,0.8461538461538461,1
1344,TN,0.5,1
1410,TN,0.6666666666666666,1
1410,HR+,0.6363636363636364,1
1356,HER2+,0.875,1
1356,HR+,0.7272727272727273,1
1854,HR+,0.7272727272727273,1
2169,HR+,0.6666666666666666,1
1210,HER2+,1.0,1
1210,HR+,0.625,1
1210,TN,0.8571428571428571,1
1853,TN,0.5,1
2170,HER2+,1.0,1
67,HR+,0.46153846153846156,1
2170,HR+,0.6666666666666666,1
2170,TN,0.5,1
67,HER2+,1.0,1
1853,HR+,0.7272727272727273,1
1853,HER2+,0.875,1
2169,TN,0.5,1
1358,TN,0.5,1
1358,HR+,0.7272727272727273,1
1358,HER2+,0.875,1
