features,type,accuracy,freqs
16,HR+,0.7,1
16,TN,0.6,1
17,HR+,0.7129629629629629,3
17,TN,0.7164021164021164,3
21,HR+,0.8260582010582009,3
21,TN,0.7027777777777778,3
31,TN,0.7142857142857143,1
31,HR+,0.6666666666666666,1
34,HR+,1.0,1
34,TN,0.625,1
37,TN,0.7337301587301587,4
37,HR+,0.8347222222222221,4
38,TN,0.6545454545454545,4
38,HR+,0.7638888888888888,4
39,HR+,0.8456349206349205,5
39,TN,0.5583333333333333,5
40,TN,0.6306818181818181,2
40,HR+,0.7785714285714285,2
41,HR+,0.7551507134840468,9
41,TN,0.7093915343915344,9
42,HR+,0.875,1
42,TN,0.7777777777777778,1
44,HR+,0.6666666666666666,1
44,TN,0.6666666666666666,1
46,TN,0.8,1
46,HR+,0.8888888888888888,1
48,HR+,0.8511111111111112,5
48,TN,0.6186363636363637,5
74,TN,0.3,1
74,HR+,0.625,1
118,TN,0.6308441558441559,11
118,HR+,0.6896464646464646,11
120,HR+,0.5555555555555556,1
120,TN,0.5,1
132,HR+,0.8833333333333332,5
132,TN,0.5955555555555555,5
147,HR+,0.6499999999999999,2
147,TN,0.5,2
152,TN,0.7142857142857143,1
152,HR+,0.8888888888888888,1
162,TN,0.6666666666666666,1
162,HR+,0.6666666666666666,1
164,HR+,0.6071428571428572,2
164,TN,0.6507936507936507,2
174,TN,0.4787878787878788,3
174,HR+,0.7208994708994708,3
177,TN,0.6592197485054628,7
177,HR+,0.7896258503401361,7
183,HR+,0.7142857142857143,1
183,TN,0.9,1
186,TN,0.7357142857142858,2
186,HR+,0.6071428571428572,2
189,TN,0.599047619047619,5
189,HR+,0.6138888888888889,5
192,HR+,0.7339381207028266,34
192,TN,0.6889642220524574,34
194,HR+,0.7936507936507937,5
194,TN,0.5822727272727273,5
195,TN,0.6888888888888889,2
195,HR+,0.7083333333333333,2
226,HR+,0.7578733766233765,20
226,TN,0.7023412698412699,20
229,HR+,0.7777777777777777,2
229,TN,0.7571428571428571,2
230,HR+,0.7119793169793169,15
230,TN,0.5235449735449735,15
257,TN,0.4,1
257,HR+,0.6,1
260,HR+,0.6,3
260,TN,0.8677248677248678,3
