features,type,accuracy,freqs
118,HR+,0.7142857142857143,1
118,TN,0.7272727272727273,1
187,TN,0.5858585858585859,2
187,HR+,0.7662337662337663,2
192,HR+,0.6811114390659845,22
192,TN,0.6359471336744064,22
194,HR+,0.7083333333333334,3
194,TN,0.3409090909090909,3
195,HR+,0.625,1
195,TN,0.3333333333333333,1
207,HR+,0.4545454545454545,1
207,TN,0.8,1
208,HR+,0.4545454545454545,1
208,TN,0.8,1
226,HR+,0.6315558179194544,11
226,TN,0.5650268922996197,11
230,HR+,0.6780578898225958,17
230,TN,0.5899265766912826,17
231,HR+,0.5555555555555556,1
231,TN,0.5,1
257,TN,0.75625,4
257,HR+,0.6972402597402597,4
258,HR+,0.4545454545454545,1
258,TN,0.8,1
385,HR+,0.8181818181818182,1
385,TN,0.5,1
386,HR+,0.8181818181818182,1
386,TN,0.5,1
387,TN,0.5,1
387,HR+,0.8181818181818182,1
388,TN,0.5,1
388,HR+,0.8181818181818182,1
389,TN,0.5,1
389,HR+,0.8181818181818182,1
390,TN,0.5,1
390,HR+,0.8181818181818182,1
391,TN,0.5,1
391,HR+,0.8181818181818182,1
392,TN,0.5,1
392,HR+,0.8181818181818182,1
393,HR+,0.8181818181818182,1
393,TN,0.5,1
394,TN,0.5,1
394,HR+,0.8181818181818182,1
396,HR+,0.7449494949494949,3
396,TN,0.5178571428571429,3
398,TN,0.5,1
398,HR+,0.8181818181818182,1
399,HR+,0.8181818181818182,1
399,TN,0.5,1
402,HR+,0.8181818181818182,1
402,TN,0.5,1
404,TN,0.5,1
404,HR+,0.8181818181818182,1
405,HR+,0.8181818181818182,1
405,TN,0.5,1
463,HR+,0.7449494949494949,3
463,TN,0.5178571428571429,3
468,HR+,0.8181818181818182,1
468,TN,0.5,1
486,HR+,0.6768620268620269,13
486,TN,0.6064324564324564,13
546,TN,0.7142857142857143,1
546,HR+,0.7,1
620,TN,0.7337662337662338,4
620,HR+,0.7204184704184704,4
621,TN,1.0,1
621,HR+,0.7777777777777778,1
665,TN,0.8,1
665,HR+,0.9,1
666,HR+,0.9,1
666,TN,0.8,1
670,TN,1.0,1
670,HR+,0.375,1
671,TN,0.6601190476190476,10
671,HR+,0.7456565656565657,10
672,TN,0.6100937950937951,15
672,HR+,0.7311784511784513,15
673,HR+,0.5151515151515151,3
673,TN,0.6,3
674,HR+,0.71788260758849,17
674,TN,0.6304749172396232,17
675,HR+,0.672979797979798,8
675,TN,0.6430059523809524,8
676,TN,1.0,1
676,HR+,0.375,1
677,TN,0.8333333333333334,3
677,HR+,0.6637205387205387,3
678,HR+,0.6073232323232324,5
678,TN,0.6599999999999999,5
679,TN,0.75,2
679,HR+,0.6319444444444444,2
681,HR+,0.8080808080808081,2
681,TN,0.75,2
683,HR+,0.7272727272727273,1
683,TN,1.0,1
684,TN,0.6466666666666667,5
684,HR+,0.6823232323232323,5
685,HR+,0.6823232323232323,5
685,TN,0.6466666666666667,5
693,HR+,0.375,1
693,TN,1.0,1
694,TN,0.7142857142857143,2
694,HR+,0.5208333333333333,2
728,HR+,0.8181818181818182,1
728,TN,0.5,1
729,TN,0.5,1
729,HR+,0.8181818181818182,1
731,TN,0.42857142857142855,1
731,HR+,0.6666666666666666,1
732,TN,0.42857142857142855,1
732,HR+,0.6666666666666666,1
733,HR+,0.6666666666666666,1
733,TN,0.42857142857142855,1
734,TN,1.0,1
734,HR+,0.7777777777777778,1
735,TN,0.6666666666666666,3
735,HR+,0.7542087542087542,3
736,HR+,0.7542087542087542,3
736,TN,0.6666666666666666,3
740,TN,1.0,1
740,HR+,0.7777777777777778,1
741,TN,1.0,1
741,HR+,0.7777777777777778,1
743,TN,0.7142857142857143,2
743,HR+,0.7222222222222222,2
746,TN,0.7000000000000001,3
746,HR+,0.8177008177008177,3
808,TN,0.6363636363636364,1
808,HR+,0.5714285714285714,1
985,TN,0.6950000000000001,5
985,HR+,0.6363636363636364,5
998,HR+,0.7428266178266177,7
998,TN,0.5516594516594516,7
999,HR+,0.6886161581474082,32
999,TN,0.5943441107503608,32
1000,TN,0.5698550632374161,34
1000,HR+,0.6838713574007692,34
1001,HR+,0.6975693975693975,37
1001,TN,0.5779971529971529,37
1002,TN,0.565057462378891,28
1002,HR+,0.6974374831517689,28
1003,TN,0.5826492951492952,26
1003,HR+,0.7125181442489134,26
1004,TN,0.5844927449094114,36
1004,HR+,0.691333049666383,36
1005,HR+,0.6840897608138987,29
1005,TN,0.5601047420012937,29
1006,HR+,0.7068156202771587,13
1006,TN,0.5474414474414474,13
1007,HR+,0.6764815046065046,16
1007,TN,0.5746572871572871,16
1008,HR+,0.7127576867576869,25
1008,TN,0.5971356421356421,25
1011,TN,0.2857142857142857,1
1011,HR+,0.4444444444444444,1
1012,HR+,0.7126044245609464,23
1012,TN,0.5569107221281135,23
1013,HR+,0.7073253906587239,18
1013,TN,0.5771725188391854,18
1014,HR+,0.7000842907092908,24
1014,TN,0.5608555796055796,24
1015,TN,0.5516781572337128,27
1015,HR+,0.6951166117832784,27
1016,HR+,0.7202824952824953,22
1016,TN,0.6080004591368229,22
1017,HR+,0.7227822901735945,23
1017,TN,0.5912274923144489,23
1018,TN,0.6111111111111112,2
1018,HR+,0.6363636363636364,2
1019,TN,0.5342592592592592,6
1019,HR+,0.7245855995855996,6
1020,HR+,0.8181818181818182,1
1020,TN,0.4444444444444444,1
1021,HR+,0.7633792133792133,15
1021,TN,0.5809403559403559,15
1022,TN,0.5786181925070815,27
1022,HR+,0.7218241634908301,27
1023,TN,0.4858585858585859,7
1023,HR+,0.7528760921618066,7
1024,TN,0.5240295815295816,10
1024,HR+,0.7275688200688201,10
1025,TN,0.5466973304473306,20
1025,HR+,0.7093399655899656,20
1026,HR+,0.6993597548285049,32
1026,TN,0.5900320165945165,32
1027,HR+,0.6968232288544789,32
1027,TN,0.5892507665945166,32
1028,TN,0.5842330871742637,17
1028,HR+,0.7170042375924729,17
1029,HR+,0.7451962389462389,12
1029,TN,0.6197089947089948,12
1030,HR+,0.7298530834245122,21
1030,TN,0.5983130625987769,21
1031,TN,0.6153832278832279,26
1031,HR+,0.7107754425062116,26
1032,TN,0.5766920355630032,31
1032,HR+,0.7104304297852686,31
1033,TN,0.6333994708994709,12
1033,HR+,0.72127849002849,12
1034,TN,0.6375661375661376,12
1034,HR+,0.7201962389462389,12
1035,HR+,0.6952647352647353,15
1035,TN,0.6010052910052911,15
1036,HR+,0.7391686438561439,16
1036,TN,0.6176835317460317,16
1037,TN,0.875,2
1037,HR+,0.7525252525252526,2
1038,TN,0.6853741496598639,14
1038,HR+,0.7189058956916101,14
1039,TN,0.6351370851370851,6
1039,HR+,0.7872053872053871,6
1040,HR+,0.8207148407148408,5
1040,TN,0.5576190476190476,5
1041,HR+,0.7321012321012322,6
1041,TN,0.5147306397306396,6
1042,HR+,0.7737051837051837,10
1042,TN,0.5305050505050506,10
1043,HR+,0.7726870351870352,8
1043,TN,0.5485479797979798,8
1044,HR+,0.8029766529766529,6
1044,TN,0.5858946608946609,6
1045,HR+,0.9,1
1045,TN,0.8,1
1046,HR+,0.9,1
1046,TN,0.8,1
1047,HR+,0.8207148407148408,5
1047,TN,0.5576190476190476,5
1048,HR+,0.800893550893551,4
1048,TN,0.4970238095238095,4
1049,HR+,0.7272727272727273,1
1049,TN,0.75,1
1050,TN,0.75,1
1050,HR+,0.7272727272727273,1
1053,TN,0.6607142857142857,2
1053,HR+,0.7727272727272727,2
1055,TN,0.75,1
1055,HR+,0.7272727272727273,1
1056,TN,0.75,1
1056,HR+,0.7272727272727273,1
1057,TN,0.5313852813852814,3
1057,HR+,0.6818181818181818,3
1058,TN,0.6067911255411256,8
1058,HR+,0.6601193944943945,8
1059,HR+,0.7204367391867392,12
1059,TN,0.6415223665223665,12
1060,HR+,0.7124138207471541,9
1060,TN,0.6560365560365561,9
1061,HR+,0.7525512186226473,14
1061,TN,0.5810142238713667,14
1062,TN,0.6679250488074018,17
1062,HR+,0.7291509144450321,17
1063,TN,0.6722222222222222,3
1063,HR+,0.8714285714285714,3
1064,HR+,0.8016450216450215,5
1064,TN,0.6390476190476191,5
1065,HR+,0.7378832972582973,8
1065,TN,0.6974567099567099,8
1066,HR+,0.7606301106301104,6
1066,TN,0.6753968253968253,6
1067,HR+,0.7253407086740419,9
1067,TN,0.6613756613756614,9
1068,TN,0.7501546072974644,7
1068,HR+,0.765914244485673,7
1069,HR+,0.5555555555555556,1
1069,TN,0.8571428571428571,1
1070,TN,0.6428571428571428,2
1070,HR+,0.6111111111111112,2
1071,TN,0.8571428571428571,1
1071,HR+,0.5555555555555556,1
1072,HR+,0.5555555555555556,1
1072,TN,0.8571428571428571,1
1076,HR+,0.5555555555555556,1
1076,TN,0.8571428571428571,1
1077,TN,0.8571428571428571,1
1077,HR+,0.5555555555555556,1
1078,HR+,0.5555555555555556,1
1078,TN,0.8571428571428571,1
1079,HR+,0.6375541125541125,7
1079,TN,0.7321995464852609,7
1080,TN,0.6277777777777778,4
1080,HR+,0.6619318181818182,4
